,video_id,signer_id,duration,split,label_type,label,Handshape,Selected Fingers,Flexion,Flexion Change,Spread,Spread Change,Thumb Position,Thumb Contact,Sign Type,Path Movement,Repeated Movement,Major Location,Minor Location,Second Minor Location,Contact,Nondominant Handshape,Wrist Twist,SignBank Reference ID
14020,21QIAPRPsudEYgospmyK,48,1748,test,asllex,disagreement,1,i,Fully Open,0,,,Closed,0,One Handed,None,0,Head,Forehead,,1,,0,2741
89276,iPaGQxP8WrLNHI9pUuBZ,61,1445,test,freetext,transition,,,,,,,,,,,,,,,,,,
86480,KWEyw0jYjskIVo4Vnwu5,38,3737,train,freetext,shipped_mail,,,,,,,,,,,,,,,,,,
63573,xsWeRQSRfWstaT1gVHJF,84,2062,train,asllex,bury_1,h,im,Fully Open,0,0,0,Closed,0,Asymmetrical Different Handshape,Straight,0,Hand,Hand Away,Hand Away,0,B,0,
40672,FjlByBK8qb4jkKbbJxR7,49,1584,train,asllex,sometimes,1,i,Fully Open,0,,,Closed,0,Asymmetrical Different Handshape,Curved,1,Hand,Palm,Hand Away,1,B,0,1094
26515,AIK2gPL64TaZov6JaPeq,85,2103,train,asllex,fruit,f,i,Curved,0,,,Open,1,One Handed,None,1,Head,Mouth,,1,,1,1505
48224,GhrQQh5Qu1Jb2UMnXPQj,80,1882,train,freetext,deaf,,,,,,,,,,,,,,,,,,
84691,ejWc7jhyp1K7A06qKZ3J,31,1635,train,freetext,powder,,,,,,,,,,,,,,,,,,
26150,mf1s4euzHeIWtqjBTi6b,62,1426,train,asllex,birth,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Curved,0,Hand,Hand Away,Hand Away,0,open_b,1,2125
4096,LaNpIJM4y0OFEldn33zB,57,1867,test,signbank,2013,,,,,,,,,,,,,,,,,,
59148,7eM8xLCscC4s6QPwcj85,61,1503,test,asllex,breaktime,closed_b,imrp,Fully Open,0,0,0,Closed,0,Asymmetrical Different Handshape,Straight,0,Hand,Other,,1,5,0,421
54747,tAGC5RQPIZaX4jXbUBKQ,84,1674,train,asllex,middle,open_8,m,Flat,0,,,Open,0,Asymmetrical Different Handshape,Circular,0,Hand,Hand Away,Palm,1,B,1,1611
88192,RQvEqzNt7mQeYIq2utVA,39,3402,train,freetext,sympathize,,,,,,,,,,,,,,,,,,
87051,L7XUN6zSMW41Y9sjn13r,8,1454,train,freetext,snack,,,,,,,,,,,,,,,,,,
47529,EzdArLwbVyKtbdYOcu7A,63,1849,val,asllex,lick_2,open_h,im,Fully Open,0,0,0,Open,0,One Handed,Curved,0,Head,Palm,Head Away,1,,0,1650
67497,gN3ubS3ma0NWgHkeEvl3,31,1517,val,freetext,go,,,,,,,,,,,,,,,,,,
22233,7yyR2IZVX0bCUHKhdHPX,12,2352,val,asllex,eyes,1,i,Fully Open,0,,,Closed,0,One Handed,Curved,0,Head,Eye,Eye,1,,0,1374
60519,S99dbF434ClH9aItg2WT,64,1579,test,asllex,former,5,imrp,Fully Open,0,1,0,Open,0,One Handed,Circular,1,Body,Clavicle,Body Away,1,,0,1496
9621,BwgQJdN7SkI2lMEIA7OR,31,1246,train,asllex,doubt,v,im,Fully Open,1,1,0,Closed,0,One Handed,None,1,Head,Head Away,,0,,0,1274
32728,5Y8A7S8IsRdplDMTbFKj,63,2119,val,asllex,arrive,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Circular,0,Hand,Hand Away,Finger Front,1,open_b,1,774
15590,639LH4kMfFmq59EihEHS,17,1182,val,asllex,animal,flat_b,imrp,Flat,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Body,Torso Top,,1,flat_b,0,16
84900,2zEhxIVEeHD0eNnlwMeQ,85,4892,train,freetext,pull,,,,,,,,,,,,,,,,,,
64424,XE4oSVD9wAgrBWiY6He1,14,1779,train,asllex,doctor_2,d,mrp,Flat,0,0,0,Open,1,One Handed,Straight,1,Arm,Wrist Front,,1,,0,573
84443,brbmyL2jFTCIwzsN9v3Y,62,1233,train,freetext,plant,,,,,,,,,,,,,,,,,,
53435,S0rsDEteMxH9AwdHuxz2,78,1828,train,asllex,down,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,0,Neutral,Neutral,Neutral,0,,0,443
10175,vfPSfRf4agLCZiap3zSZ,62,943,train,asllex,serious,1,i,Fully Open,0,,,Closed,0,One Handed,None,0,Head,Chin,,1,,1,2014
77488,tTxU3YLeoqu34M5A1Yz1,30,3474,train,freetext,jurassic_park,,,,,,,,,,,,,,,,,,
82434,9gjikMuCFyrli6sT57I2,85,2989,train,freetext,new_change,,,,,,,,,,,,,,,,,,
16316,DagPgJLfNP5tJa4LaaUS,12,1557,val,asllex,tall_1,1,i,Fully Open,0,,,Closed,0,Asymmetrical Different Handshape,Straight,0,Hand,Palm,Hand Away,1,B,0,1174
55983,Cw2QhckZ6YN6H5oWSYxt,49,1652,val,asllex,accept,flatspread_5,imrp,Flat,1,1,1,Open,1,Symmetrical Or Alternating,Straight,0,Body,Torso Top,,1,flatspread_5,0,2045
23143,BVF2FxAbd1ILAPQVJX46,57,2078,test,asllex,thin,i,p,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,1,i,0,2465
18043,4wwygqTFgsswKkaefFac,48,1310,test,asllex,work,s,imrp,Fully Closed,0,,0,Closed,1,Asymmetrical Same Handshape,Straight,1,Hand,Palm Back,,1,s,0,1450
82304,E5ELEabf2w705SfCQfxp,80,2620,train,freetext,navy,,,,,,,,,,,,,,,,,,
36887,PFGhEJ65E2Sdf2qKevRw,43,3316,train,asllex,brown,closed_b,imrp,Fully Open,0,0,0,Closed,0,One Handed,Straight,0,Head,Chin,Chin,1,,0,53
41967,2A115Jp3c9wXzR4Ud9hs,7,2377,val,asllex,on,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Straight,0,Hand,Palm Back,,1,open_b,0,203
5888,tgENwXqYMrCYrEeW7jqB,62,1005,train,asllex,doctor,flat_o,imrp,Flat,0,0,0,Open,1,One Handed,Straight,1,Arm,Wrist Front,,1,,0,344
18908,RR4wi0Z7kFchzpx9wueL,39,3205,val,asllex,stubborn,open_b,imrp,Fully Open,1,0,0,Open,0,One Handed,None,0,Head,Forehead,,1,,0,1136
82366,lVCvM3KAU9sD7FUetIvT,54,2216,train,freetext,negotiate,,,,,,,,,,,,,,,,,,
2487,9mS9TJLqiZV8gOEpw87A,53,1890,test,asllex,promise,1,i,Fully Open,0,,,Closed,0,One Handed,None,0,Head,Mouth,,1,,0,674
4804,GISlX9GxwEl4XYBx18T7,54,2073,val,asllex,hair,f,i,Flat,0,,,Open,1,One Handed,Straight,1,Head,Other,Other,0,,0,1848
72221,8uLuJZTILawiMZgXNJaH,49,1670,train,freetext,hippo,,,,,,,,,,,,,,,,,,
18999,Z9ZfksB5A6KUHtIAMNMD,46,2341,train,asllex,cute_1,h,im,Fully Open,1,0,0,Closed,0,One Handed,None,1,Head,Chin,Head Away,1,,0,438
49670,wgOZES0KT7zA0406FlTp,63,1938,train,asllex,soon_1,f,i,Curved,0,,,Open,1,One Handed,Straight,1,Head,Chin,,1,,0,266
14586,bRxbXHfLloWFqmQcA2o0,15,1122,train,freetext,assign,,,,,,,,,,,,,,,,,,
33863,HqEBkRk0hgi471vlUZUj,50,2332,test,asllex,ski,bent_1,i,Bent,0,,,Closed,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,bent_1,0,759
14022,Ld3aLR1Wep6Hq7CZJGSn,84,1610,train,asllex,disagreement,1,i,Fully Open,0,,,Closed,0,One Handed,None,0,Head,Forehead,,1,,0,2741
2205,vaTqKZqDQKlsqO85vNZA,60,956,train,asllex,bake_1,closed_b,imrp,Fully Open,0,0,0,Closed,0,Asymmetrical Same Handshape,Straight,1,Hand,Hand Away,Hand Away,0,closed_b,0,808
55357,2DaxXn2vAQWpyRJPjX0W,52,4203,train,asllex,fill_out,o,imrp,Curved,0,0,0,Open,1,Asymmetrical Different Handshape,Straight,0,Hand,Hand Away,Hand Away,0,B,0,1458
85943,JAES9NmFJpmfSEAaDAec,59,1928,train,freetext,sarcasm,,,,,,,,,,,,,,,,,,
44449,oBK9hOtVV6mzfUWFKMJ8,88,2712,val,asllex,clothes,5,imrp,Fully Open,0,1,0,Open,0,Symmetrical Or Alternating,Curved,1,Body,Torso Top,Body Away,1,5,1,91
6915,R1DjSwDFqdJ1tW8ajWns,17,1863,train,asllex,apple,bent_1,i,Bent,0,,,Closed,0,One Handed,None,1,Head,Cheek Nose,,1,,1,406
65083,gJ4K8ZZ3eohvLigx1aZd,62,1160,train,asllex,rabbit_2,flat_h,im,Flat,1,0,0,Closed,0,Symmetrical Or Alternating,None,1,Neutral,Neutral,,1,flat_h,0,59
9300,e5SHxN87rGB2utbLUa8L,84,1703,train,asllex,bake_2,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Straight,0,Hand,Hand Away,Hand Away,0,open_b,0,808
3682,pv7B05XA5cjCvXPQ3RLH,7,1959,train,asllex,dumb,a,t,,,,,Open,,One Handed,Straight,0,Head,Forehead,,1,,0,604
60164,pjWFNJPxXPNCMoQfk3vR,50,2889,test,asllex,vibrate,5,imrp,Fully Open,0,1,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,5,0,1391
83840,66s7YqaAkD7g7E2PS79r,7,2353,train,freetext,pa,,,,,,,,,,,,,,,,,,
39404,S6MteD77xGGeTRVUj1uM,57,1586,test,asllex,team,baby_o,i,Bent,0,,,Open,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,baby_o,1,1178
17462,Hqnb0pwoz3gBXo2uO6vl,49,1256,train,asllex,look_for,c,imrp,Curved,0,0,0,Open,0,One Handed,Circular,1,Head,Head Away,Head Away,0,,0,537
45009,lBuZHsBM6Aqs14BgzkFP,30,2608,train,asllex,give,flat_o,imrp,Flat,0,0,0,Open,1,One Handed,Curved,0,Neutral,Neutral,Neutral,0,,1,466
49963,Rh59KYC3jiWvSdtmdsNT,49,2574,train,asllex,lungs,curved_5,imrp,Curved,0,1,0,Open,0,Symmetrical Or Alternating,Straight,1,Body,Torso Mid,Torso Mid,1,curved_5,0,
14342,W9o90ZkS1iOITRc2rktu,49,1402,train,freetext,analyze,,,,,,,,,,,,,,,,,,
36699,p3TmbkEr4YV7CeQIPM90,62,1705,train,asllex,sit,curved_h,im,Curved,0,0,0,Closed,0,Asymmetrical Different Handshape,Straight,0,Hand,Finger Back,,1,Dominance Condition Violation,0,541
41297,tlLbLvYCqxBz1kevMLGT,15,2625,val,asllex,view,flat_v,im,Flat,0,1,0,Closed,0,One Handed,None,0,Head,Eye,,1,,0,
43994,DQ1dK1tcniRSOzWsJTfL,84,1755,train,asllex,clean,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Curved,1,Hand,Palm,Hand Away,1,open_b,0,431
35874,SK2znW7zTlZGqbpadMoA,62,1136,train,asllex,friend,curved_1,i,Curved,0,,,Closed,0,Symmetrical Or Alternating,Other,0,Neutral,Neutral,Neutral,1,curved_1,0,462
24231,Utk7tVMJtCJVYwyoLSYq,49,1521,train,asllex,south,s,imrp,Fully Closed,0,,0,Closed,1,One Handed,Straight,0,Neutral,Neutral,Neutral,0,,0,682
54429,Px0aCcgs8udH0jdJSBHd,88,2610,train,asllex,scold,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,1,Neutral,Neutral,,0,,0,1889
81336,lyXxMcy2hAHrA6yGvlAq,39,2830,train,freetext,make-up,,,,,,,,,,,,,,,,,,
52352,lElajio4cAivf6UEgDSx,35,1333,train,asllex,easy_to_do,open_b,imrp,Fully Open,1,0,0,Open,0,Asymmetrical Same Handshape,None,1,Hand,Finger Back,Hand Away,1,open_b,0,684
2873,u0k5A6FzjVmSHVYSuYO2,7,2431,train,asllex,pride,a,t,,,,,Open,,One Handed,Straight,0,Body,Torso Bottom,Torso Top,1,,0,2172
72075,QE6GZJwpPkkWGS0JUHS6,59,3184,val,freetext,height,,,,,,,,,,,,,,,,,,
247,x1WTbaHSkZwY5wzWg7EH,12,1499,train,signbank,130,,,,,,,,,,,,,,,,,,
26697,xKCfYqzIx41KI3V51lqX,7,2004,train,asllex,red,1,i,Fully Open,1,,,Closed,0,One Handed,None,1,Head,Mouth,Head Away,1,,0,531
47432,3EiX3ZCkpVqsYAKy3PHQ,30,2013,val,asllex,neck,g,i,Flat,0,,,Open,0,One Handed,Straight,1,Body,Neck,Neck,1,,0,
12328,8rBxsAX7v0BsRLJGG6FS,80,2031,train,asllex,friday,f,i,Curved,0,,,Open,1,One Handed,Circular,1,Neutral,Neutral,Neutral,0,,0,558
25387,OEdJiZII7kb9FeVNbz5C,84,1044,train,asllex,numbers,flat_o,imrp,Flat,0,0,0,Open,1,Symmetrical Or Alternating,Other,0,Neutral,Neutral,Neutral,1,flat_o,1,782
87474,AnUG5HikXjki4EYhJPx6,88,2107,train,freetext,spray,,,,,,,,,,,,,,,,,,
56006,FhcatdZxDf8iD7hW5Ov7,14,3332,train,asllex,accept,flatspread_5,imrp,Flat,1,1,1,Open,1,Symmetrical Or Alternating,Straight,0,Body,Torso Top,,1,flatspread_5,0,2045
5564,WrFTFXWDY4XgPuplUGUp,49,1338,val,signbank,3015,,,,,,,,,,,,,,,,,,
12881,cmF9UuolijjTbnbYaP6b,39,1910,train,asllex,summer,1,i,Fully Open,1,,,Closed,0,One Handed,Straight,1,Head,Forehead,Head Away,0,,0,668
89562,ilFxqSpH98WyBprj85x6,49,3751,train,freetext,turtle,,,,,,,,,,,,,,,,,,
87564,hg1k7qShLPtHzJe3eHi5,52,3812,train,freetext,stamp,,,,,,,,,,,,,,,,,,
18710,HIA0yCEsb2e0qD0PjYHM,57,1403,test,asllex,scared,5,imrp,Fully Open,0,1,0,Open,0,Symmetrical Or Alternating,Straight,1,Body,Body Away,Body Away,0,5,0,246
28624,vMrMGr3oNsxZ5cnrcxnv,39,2170,train,asllex,go,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,0,1,0,469
5805,sTBiEJZbFGszcuo6Z1Yr,30,1548,train,asllex,flower,flat_o,imrp,Flat,0,0,0,Open,1,One Handed,Curved,0,Head,Cheek Nose,Cheek Nose,1,,1,381
38490,Z3qo3DaxjUZqVJgcgzE0,42,1959,train,asllex,yucky,1,m,Curved,1,,,Open,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,0,1,0,
28775,7eOh9OxJcXLTQcIo30G1,60,1996,val,asllex,kid,horns,ip,Fully Open,0,,,Closed,0,One Handed,None,1,Head,Upper Lip,,1,,1,163
83244,PPA7sgJUpIyZKU19DsaL,57,1428,test,freetext,not_understand,,,,,,,,,,,,,,,,,,
39159,K3Mh0vteo5LVoVn1vAEc,61,1346,test,freetext,claw,,,,,,,,,,,,,,,,,,
49463,G7IJHGOEAhpM2caz3Gwp,84,2971,train,asllex,penis,p,im,Stacked,0,,0,Open,1,One Handed,Straight,1,Head,Cheek Nose,,1,,0,3266
64147,TI4NLexpfzUysnwt64Zz,7,2508,train,asllex,drown_3,a,t,,,,,Open,,Asymmetrical Different Handshape,Straight,0,Hand,Other,Hand Away,1,C,0,2576
43284,KChHr9kIun6vDZYakeie,64,1649,test,asllex,process,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Circular,1,Neutral,Neutral,Neutral,0,open_b,0,936
39665,90lbAHPrZqxSolb0dVGg,43,3254,train,freetext,context,,,,,,,,,,,,,,,,,,
36803,zI8GVIKeQrFDSDcO1MUw,88,2237,train,asllex,elegance,5,imrp,Fully Open,0,1,0,Open,0,One Handed,Curved,1,Body,Torso Top,Body Away,1,,0,1382
267,0KAHikMhC4HcmnHEtZlT,84,1390,train,asllex,castle,curved_v,im,Curved,1,1,0,Closed,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,curved_v,0,2471
87650,FpsYJDUtMDOon4LeufLe,43,3106,train,freetext,steak,,,,,,,,,,,,,,,,,,
255,rh3hHHmr5yCCu57OvaF0,38,4216,val,asllex,hamburger,c,imrp,Curved,0,0,0,Open,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,1,c,0,1844
6134,qs4FVVlswiV9gGtHgrDJ,39,2948,val,signbank,3476,,,,,,,,,,,,,,,,,,
33041,pDru8wrj14YHCYWsWxeh,85,2871,val,asllex,idea,i,p,Fully Open,0,,,Closed,0,One Handed,Straight,0,Head,Forehead,Head Away,1,,0,1750
1823,m4VFRJ9CMXb2xDD1pOpN,30,1764,train,asllex,tiger,5,imrp,Fully Open,1,1,0,Open,0,Symmetrical Or Alternating,Straight,1,Head,Cheek Nose,Head Away,0,5,0,1232
81002,sYMDzD0qawAJ6osauvo3,46,2560,val,freetext,look_at_me,,,,,,,,,,,,,,,,,,
32522,bBAMJClYbpgUcUNLiS5a,49,1484,train,asllex,crawl,bent_v,im,Bent,0,1,0,Closed,0,Asymmetrical Different Handshape,Straight,1,Hand,Palm,Finger Front,0,B,0,2559
60576,BbURC8u7pMsKKd4spbqn,61,1549,test,asllex,get_together,curved_5,imrp,Curved,0,1,0,Open,0,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,0,curved_5,1,1518
58639,bHYbzkS3UEhym42pbpmm,57,1724,test,asllex,environment,e,imrp,Bent,0,0,0,Closed,1,Asymmetrical Different Handshape,Curved,0,Hand,Finger Radial,Finger Ulnar,1,1,1,1315
5491,DR4uLLqZaLSUcsw002Ic,39,1855,train,signbank,2955,,,,,,,,,,,,,,,,,,
14487,5ATnp6lMuSQlbjHYO5xG,88,1970,train,freetext,armor,,,,,,,,,,,,,,,,,,
46743,OA73VaNypRSiUxZXHCJU,48,939,test,asllex,tomorrow,a,t,,,,,Open,,One Handed,Curved,0,Head,Cheek Nose,Head Away,0,,0,301
35458,eQywCZvitdzAbFqYtxnv,39,2429,val,asllex,rat,r,im,Crossed,0,0,0,Closed,0,One Handed,Straight,1,Head,Cheek Nose,Head Away,1,,0,2879
39978,rua658hesrpPxnF5u74n,49,1717,train,asllex,not,a,t,,,,,Open,,One Handed,Straight,0,Head,Under Chin,Head Away,1,,0,515
53094,5fdvaEswQ7WqIHwIsfhH,8,1775,train,asllex,form,f,i,Curved,0,,,Open,1,Symmetrical Or Alternating,Back And Forth,0,Neutral,Neutral,Neutral,1,f,0,3234
47974,BK3aaVl9i22DOhtD0XUw,46,3486,train,asllex,bring,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,open_b,0,51
80637,Fx2jNmbbGZioBdx0w8VO,61,1707,test,freetext,lift,,,,,,,,,,,,,,,,,,
63880,aElc68LOhq27yeTdeiuC,7,2698,val,asllex,leaf_2,5,imrp,Fully Open,0,1,0,Open,0,Asymmetrical Different Handshape,None,1,Hand,Finger Tip,,1,1,1,1685
50412,7wjSIsOx3OXZPCXemZ7n,84,2214,val,asllex,support_1,s,imrp,Fully Closed,0,,0,Closed,1,Asymmetrical Same Handshape,Straight,1,Hand,Finger Ulnar,Finger Ulnar,1,s,0,1147
18467,7fi572sRkzhSg263FDbM,50,2743,test,asllex,fall_1,closed_b,imrp,Fully Open,0,0,0,Closed,0,One Handed,Straight,1,Arm,Forearm Ulnar,Arm Away,1,,0,451
34356,Szh5YGtPPuKl54BA0mVF,88,3489,train,asllex,car,s,imrp,Fully Closed,0,,0,Closed,1,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,Neutral,0,s,0,428
61033,rucLbuYe4EyyQ7eoaoIQ,88,2300,train,asllex,fool,a,t,,,,,Open,,Asymmetrical Different Handshape,Straight,1,Hand,Finger Radial,,1,1,0,1491
8074,Swc0j0WAX3kDpA4cWbe6,14,2434,val,asllex,responsibility,flat_b,imrp,Flat,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Body,Shoulder,,1,flat_b,0,968
53825,16dAOxHWWIonRq2NCDZB,57,2063,test,asllex,yes,s,imrp,Fully Closed,0,,0,Closed,1,One Handed,Straight,1,Neutral,Neutral,,0,,0,1472
35217,3unBiEtM2ksuTkiH6zn8,62,900,val,asllex,god,closed_b,imrp,Fully Open,0,0,0,Closed,0,One Handed,Curved,0,Head,Head Away,Head Away,0,,0,1871
63055,i0PoDFJhj7mYe4Yq0dFq,84,2026,val,asllex,woman_2,a,t,,,,,Open,,One Handed,None,0,Head,Chin,,1,,0,1443
55241,Z7ax6VzcEoISptVqsZAx,85,3502,train,asllex,vocabulary,v,im,Fully Open,0,1,0,Closed,0,Asymmetrical Different Handshape,Straight,1,Hand,Finger Back,,1,1,0,1400
85351,zDlYDJm3aJqTcIUKOMm3,57,1642,test,freetext,reinforce,,,,,,,,,,,,,,,,,,
2470,CO61uI1QjP0pj9fx0qPi,88,2965,train,asllex,promise,1,i,Fully Open,0,,,Closed,0,One Handed,None,0,Head,Mouth,,1,,0,674
46223,B2RifixirdPlNjJrOppT,78,2188,train,asllex,party_1,p,im,Stacked,0,,0,Open,1,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,Neutral,0,p,0,874
4589,jvbrJtMxyfwdmyd31y5X,88,2251,val,signbank,2297,,,,,,,,,,,,,,,,,,
1624,EhYCskVBc2PVA1FcyvYC,88,3500,train,asllex,bird,g,i,Flat,1,,,Open,1,One Handed,None,1,Head,Mouth,,1,,0,361
11118,Xyhwzd8l1ieAlCMQQpgR,84,2331,train,asllex,eat_1,o,imrp,Curved,0,0,0,Open,1,One Handed,Straight,1,Head,Mouth,,1,,0,399
11105,WN8XcvJ7wzWc5hacOmVx,8,1455,train,asllex,eat_1,o,imrp,Curved,0,0,0,Open,1,One Handed,Straight,1,Head,Mouth,,1,,0,399
32408,n82Bm9pp9AJZGpbvdCG9,7,2735,val,asllex,floor,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,open_b,0,
52486,IJRl0YQfYrmScJCHUetr,49,1087,val,asllex,watch,bent_l,i,Bent,0,,,Open,0,One Handed,Straight,0,Head,Head Away,Head Away,0,,0,317
21835,a5zQvD4zmtYrJsBMVOPg,62,1046,train,asllex,past,open_b,imrp,Fully Open,1,0,0,Open,0,One Handed,None,0,Body,Body Away,,0,,0,212
38928,Cq1Q6YONbhrmyy8TLNYR,84,2236,val,asllex,ghost,f,i,Curved,0,,,Open,1,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,1,f,0,1879
16676,h8mtgN5tA8zvYfGxG5XO,35,1422,val,asllex,religion,r,im,Crossed,0,0,0,Closed,0,One Handed,Curved,0,Body,Clavicle,Body Away,1,,0,957
2750,0ewsSXlbU8kyP2QBgtDP,80,2234,train,signbank,1170,,,,,,,,,,,,,,,,,,
19891,4jLZmIYwafphVYrHp9GL,31,1604,train,asllex,baby,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,open_b,0,407
60881,AtEbuMwPxAGYJwUDOCwY,30,1735,train,asllex,make_believe,4,imrp,Fully Open,0,1,0,Closed,0,One Handed,Straight,0,Head,Forehead,Head Away,1,,0,1630
53126,yFCLbY185S6Zl6C8QTNc,38,2949,train,asllex,strong,s,imrp,Fully Closed,0,,0,Closed,1,Symmetrical Or Alternating,Straight,1,Body,Body Away,,0,s,0,1132
84135,vjmAoe2J2FMZXxcnNhCu,42,2311,train,freetext,people,,,,,,,,,,,,,,,,,,
54793,dMwP6AI36VLD9lcOvtEm,52,2709,val,asllex,ponder,curved_5,imrp,Curved,1,1,0,Open,1,Symmetrical Or Alternating,None,1,Head,Head Away,,0,curved_5,0,915
62218,tR3TdaoeUwp4WlOfu9rU,17,1096,train,asllex,bleed,1,i,Fully Open,0,,,Closed,0,One Handed,None,0,Head,Mouth,,1,,0,416
22814,x7LW1u4UDOirZaYGEOV7,61,2134,test,asllex,temptation,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,1,Arm,Forearm Ulnar,,1,,0,1190
36789,sriJO2YKlT3rg4aTm5Bk,84,1381,train,asllex,elegance,5,imrp,Fully Open,0,1,0,Open,0,One Handed,Curved,1,Body,Torso Top,Body Away,1,,0,1382
25753,wubNeAC0YGtmf8i9GjhO,49,2056,train,asllex,children,open_b,imrp,Fully Open,1,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,open_b,0,76
48509,JAWkXzc28EBsx2W9DyeD,84,1832,train,asllex,bright,o,imrp,Curved,1,0,1,Open,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,o,0,
25620,GhxXojC9C6eO9FhoTljS,57,1019,test,asllex,blue,closed_b,imrp,Fully Open,0,0,0,Closed,0,One Handed,None,1,Neutral,Neutral,,0,,1,417
30589,erbELMGnqzbEHtaeLCMV,30,1541,val,asllex,kill,flat_1,i,Flat,0,,,Closed,0,Asymmetrical Different Handshape,Straight,0,Hand,Palm,Hand Away,1,B,0,616
4358,c3IX00invmfdOjXfvDRT,31,1588,train,asllex,fireman,4,imrp,Fully Open,0,1,0,Closed,0,One Handed,Straight,1,Head,Forehead,,1,,0,133
9161,XsMAr6LbMECevpIFSPoG,7,2150,train,asllex,body,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,0,Body,Clavicle,Hips,1,open_b,0,788
444,smCWJNiT90XIb7ihpriW,50,2117,test,signbank,184,,,,,,,,,,,,,,,,,,
35385,augqE7Od7wHOtpZmoPxj,88,1762,val,asllex,push,5,imrp,Fully Open,0,1,0,Open,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,5,0,230
60292,rJoNB6mlnUCW53c5nVc3,11,2789,train,asllex,positive,1,i,Fully Open,0,,,Closed,0,Asymmetrical Same Handshape,Straight,1,Hand,Finger Radial,,1,1,0,918
62629,FvY36HSNehE9KouNLleQ,49,1169,val,asllex,cheerleader_2,closed_b,imrp,Fully Open,0,0,0,Closed,0,Symmetrical Or Alternating,Straight,1,Body,Torso Top,,1,closed_b,0,
49743,hMtMPU42b18vumAOj8MU,49,1470,train,asllex,something,1,i,Fully Open,0,,,Closed,0,One Handed,Circular,1,Neutral,Neutral,Neutral,0,,0,2488
56551,nfw96HMk8OI7uhiXJVnn,62,1266,train,asllex,scratch,bent_1,i,Bent,0,,,Closed,0,Asymmetrical Different Handshape,Straight,0,Hand,Palm Back,Palm Back,1,Lax,0,249
64340,Rkn5ZEeV7KiBJ0tHVUVk,59,2797,train,asllex,fork_3,v,im,Fully Open,0,1,0,Closed,0,Asymmetrical Different Handshape,None,0,Hand,Palm,,1,B,0,1992
4179,mf5xbrknjC452XsuLAMi,80,2179,train,asllex,teacher,o,imrp,Curved,1,0,0,Open,1,Symmetrical Or Alternating,Straight,0,Head,Head Away,Head Away,0,o,0,792
3717,5TTdrtEzN1elRh4qAQTL,60,666,train,asllex,water,w,p,Curved,0,,,Open,1,One Handed,Straight,1,Head,Chin,,1,,0,1414
2282,8Z5VUZkdfjMxrCmRLE0g,63,1805,train,signbank,895,,,,,,,,,,,,,,,,,,
54281,VLYopL9nkImQb5i2HrNU,49,1301,val,asllex,tendency,open_8,m,Flat,0,,,Open,0,Symmetrical Or Alternating,Straight,0,Body,Clavicle,Body Away,1,open_8,0,292
13075,6Wqm7GV1FZ0sNffEwBcj,35,1485,train,asllex,slow,5,imrp,Fully Open,0,1,0,Open,0,Asymmetrical Same Handshape,Straight,0,Hand,Finger Back,Palm Back,1,5,0,261
